Designator,Mid X,Mid Y,Rotation,Layer
C1,64.95,-59.275,0.0,top
C10,71.85,-64.2,180.0,top
C11,85.905,-54.95,180.0,top
C12,88.245,-57.17,270.0,top
C13,74.495,-44.067501,180.0,top
C14,72.57,-42.467501,270.0,top
C15,83.35,-42.095,0.0,top
C16,71.64,-50.52,180.0,top
C17,77.8475,-44.595,270.0,top
C18,80.9075,-42.945,0.0,top
C19,78.2675,-42.12,180.0,top
C2,65.225,-51.925,270.0,top
C20,83.39,-51.155,180.0,top
C3,66.875,-50.9,0.0,top
C4,84.744411,-59.499411,315.0,top
C5,64.95,-58.325,180.0,top
C6,64.0,-52.55,90.0,top
C7,66.175,-65.225,270.0,top
C8,67.375,-64.65,270.0,top
C9,83.39,-50.23,180.0,top
D1,64.05,-64.4,270.0,top
D3,83.38,-41.17,0.0,top
FB1,66.89,-51.875,0.0,top
J1,87.275,-51.875,90.0,top
J2,86.3,-64.25,270.0,top
J3,74.625,-58.05,270.0,bottom
J4,65.9,-44.6,270.0,top
J5,87.8,-44.0,270.0,top
L1,87.76,-54.95,180.0,top
Q1,64.0,-62.575,180.0,top
R1,68.3,-51.425,90.0,top
R10,78.9975,-48.195,0.0,top
R11,78.25,-40.9,0.0,top
R12,83.38,-40.22,180.0,top
R13,80.85,-48.2,0.0,top
R2,71.15,-65.975,90.0,top
R3,72.45,-51.85,180.0,top
R5,63.1,-64.4,90.0,top
R6,65.375,-62.55,90.0,top
R7,75.885,-44.542501,90.0,top
R8,71.64,-42.77,90.0,top
R9,71.65,-44.63,90.0,top
SW2,79.03,-50.75,270.0,top
U1,74.625,-58.05,0.0,top
U2,86.47,-56.94,270.0,top
U3,80.0725,-45.57,90.0,top
U4,83.11,-48.52,270.0,top
U5,74.825,-41.712499,90.0,top
U6,80.81,-41.22,270.0,top
U8,73.93,-47.81,0.0,top
U9,64.9325,-55.625,90.0,top
